Name,Platform,Year_of_Release,Genre,Global_Sales,Critic_Score,Critic_Count,User_Score,Rating,Player0_Rating,Player1_Rating,Player2_Rating,Player3_Rating,Player4_Rating,Player5_Rating,Player6_Rating,Player7_Rating,Player8_Rating,Player9_Rating,Player10_Rating,Player11_Rating,Player12_Rating,Player13_Rating,Player14_Rating,Player15_Rating,Player16_Rating,Player17_Rating,Player18_Rating,Player19_Rating
EverGrace,PS2,2000.0,Role-Playing,0.35,59.0,12.0,7.8,T,133.1586504129518,-95.00339735499844,59.99538614659874,-1.4658505608281618,-50.50793693411209,-66.14743010149114,-45.323055305261256,-0.8830457290730662,-14.666580174242998,-224.06581421507164,57.665713461880216,-33.26642363960504,61.4755558290293,14.057871318729443,-45.12911803817266,72.39317215159792,118.76224412446513,126.13653972571535,-118.84376351799747,-29.980011923965893
Spider-Man,PS,2000.0,Action,3.13,87.0,19.0,9.0,E,71.52789743984054,-111.43191402288429,145.00816182981734,112.01575782813147,17.379438261197034,-55.09252716702776,62.80149287701807,-44.31636853773722,-7.750797005048786,-50.17127937262115,29.303635634824683,11.642697627955906,41.533338512782784,123.1248813918218,15.502931776843509,-37.04574560690258,0.6299413292108845,-57.932254995507684,-10.307351054860641,156.52097743695492
World Destruction League: Thunder Tanks,PS,2000.0,Action,0.17,35.0,4.0,1.2,T,-154.5400292111268,-74.44617534358902,-72.65269974406925,116.5236331985987,7.818357377172762,47.77258222552218,43.418054267150936,-88.35572178378445,12.467748345837176,26.841949660643593,-8.75946381588535,41.054868751480925,-31.94724775054833,21.670272405319718,-49.8368872845084,-131.33363728854044,48.60340058537542,-30.542838370588555,85.47377796511341,-22.21173176635344
The Sims,PC,2000.0,Simulation,0.05,92.0,38.0,7.9,T,-0.8383849928522256,-14.317813763587772,-12.697740684347744,49.07715111740792,9.98314367608218,-18.288261566860125,-38.99335938794633,18.55079216475627,-6.616602384577988,-73.39113065801975,-88.55184849779594,6.941875549039628,59.67816246611791,-41.71007548504907,137.40409125811382,-56.41410406627359,-30.806494554007223,-79.25484919138104,101.76761244509471,91.45592502121438
Street Fighter EX3,PS2,2000.0,Fighting,0.85,64.0,17.0,7.9,T,62.13359738904805,-136.73647001757018,53.94551747702221,122.71136536206278,172.63977095984816,191.04030310952328,-35.737024388430584,-14.628001202688784,-36.74010615199762,88.0255274737453,-100.12281981757678,18.085151668078403,38.61408772247143,-10.236145189148049,140.73623984260908,-52.20247805955716,9.647580676153241,131.14969330932934,121.27791299442048,-7.295846117089816
Resident Evil: Survivor,PS,2000.0,Action,0.71,39.0,10.0,7.0,M,-72.00855607188969,45.69890640831936,129.432076594196,103.97880151886585,31.21227776017998,132.21020333431582,-69.62618944856158,-95.1869244624496,192.42502105576708,68.153995140909,123.61056677561643,224.5754703864552,197.28864378163658,-54.80881425612879,-111.20385889513446,-147.05009908838238,-73.94476350810247,20.690348905569905,-70.24803121868187,-300.31832962281663
NBA Live 2001,PS,2000.0,Sports,1.25,86.0,10.0,8.0,E,26.551158569211953,0.6685249066213914,-39.568289683384215,-34.161631466460044,40.606086059946314,178.16453020362636,-16.657338475438127,-74.88934516552135,49.573921946022814,-10.38547048600579,2.8274492568576646,163.68210635880533,236.01217885132414,54.28697052898559,-1.8134314522592194,-26.076748021700652,41.81953008832572,28.190020168112262,-65.51228634532809,30.322476859857467
The Typing of the Dead,DC,2000.0,Shooter,0.05,83.0,12.0,7.8,M,10.854852571496943,135.17929155963165,73.92577773130806,-15.966794651633116,-63.4368855409559,43.384296455506124,-216.9983965429564,69.02591115274613,-18.156456025260436,12.021787148626148,-21.116659536441652,-188.1896845017697,-99.44873520444555,-16.04297703099188,-10.633310652169879,26.270689708945643,-43.11886124373353,-201.7485630757747,-63.20004709906165,183.67068921012662
Mega Man X5,PS,2000.0,Platform,0.75,76.0,10.0,8.9,E,0.42914309340332357,50.96656013939162,147.89422067374113,-142.66309514227453,148.8005988171712,16.800623078270394,27.623349515392313,200.978576153281,45.57373964408147,67.46718236823057,87.05210225956031,142.51237642645182,-11.580141907591095,4.272995538180311,-60.080041917645744,16.880747504970177,-116.73168256355379,-79.41732847495194,62.26273441818001,16.33466161642902
Knockout Kings 2001,PS,2000.0,Fighting,0.41,84.0,11.0,8.5,T,-17.460021059294128,-78.14237767083046,-8.555611406144962,86.37240925498145,10.093395376539029,56.73792257424346,-7.5567972265495635,-40.626443495674216,36.866951492544274,-151.69143799968123,56.93506109943387,-0.5819650309655046,72.99180889385057,90.24400378039192,71.57500192621393,146.5839030436082,-72.37348149340961,72.68365107840017,-7.215037519516058,110.64701363188377
